2008,01,17,50000.0
2008,01,18,49969.0
2008,01,22,49582.0
2008,01,23,48699.0
2008,01,24,48745.0
2008,01,25,48974.0
2008,01,28,48974.0
2008,01,29,48974.0
2008,01,30,48974.0
2008,01,31,48974.0
2008,02,01,48974.0
2008,02,04,48974.0
2008,02,05,48903.0
2008,02,06,48856.0
2008,02,07,48841.0
2008,02,08,48816.0
2008,02,11,48810.0
2008,02,12,48810.0
2008,02,13,48810.0
2008,02,14,48810.0
2008,02,15,48810.0
2008,02,19,48810.0
2008,02,20,48810.0
2008,02,21,48810.0
2008,02,22,48810.0
2008,02,25,48810.0
2008,02,26,48810.0
2008,02,27,48810.0
2008,02,28,48810.0
2008,02,29,48810.0
2008,03,03,48797.0
2008,03,04,48787.0
2008,03,05,48799.0
2008,03,06,48779.0
2008,03,07,48800.0
2008,03,10,48800.0
2008,03,11,48800.0
2008,03,12,48800.0
2008,03,13,48800.0
2008,03,14,48800.0
2008,03,17,48800.0
2008,03,18,48800.0
2008,03,19,48800.0
2008,03,20,48800.0
2008,03,24,48800.0
2008,03,25,48800.0
2008,03,26,48800.0
2008,03,27,48800.0
2008,03,28,48800.0
2008,03,31,48800.0
2008,04,01,48800.0
2008,04,02,48800.0
2008,04,03,48800.0
2008,04,04,48800.0
2008,04,07,48800.0
2008,04,08,48800.0
2008,04,09,48800.0
2008,04,10,48800.0
2008,04,11,48800.0
2008,04,14,48800.0
2008,04,15,48800.0
2008,04,16,48824.0
2008,04,17,48822.0
2008,04,18,48832.0
2008,04,21,48824.0
2008,04,22,48823.0
2008,04,23,48823.0
2008,04,24,48823.0
2008,04,25,48823.0
2008,04,28,48893.0
2008,04,29,48884.0
2008,04,30,48898.0
2008,05,01,48922.0
2008,05,02,48889.0
2008,05,05,49055.0
2008,05,06,49149.0
2008,05,07,49143.0
2008,05,08,49149.0
2008,05,09,49179.0
2008,05,12,49184.0
2008,05,13,49192.0
2008,05,14,49183.0
2008,05,15,49183.0
2008,05,16,49183.0
2008,05,19,49183.0
2008,05,20,49183.0
2008,05,21,49183.0
2008,05,22,49120.0
2008,05,23,49092.0
2008,05,27,49085.0
2008,05,28,49083.0
2008,05,29,49076.0
2008,05,30,49076.0
2008,06,02,49076.0
2008,06,03,49076.0
2008,06,04,49076.0
2008,06,05,49076.0
2008,06,06,49076.0
2008,06,09,49076.0
